id,masv,hoten,sdt,diachi,lop,ma_nganh,ngay_sinh,gioi_tinh,ghi_chu
1086,SV01086,Sinh viên 1086,0932844094,Hạ Long 1086,CNTT2,CNTT,17/06/2004,Nữ,
1087,SV01087,Sinh viên 1087,0919195927,Hạ Long 1087,QTKD4,QTKD,14/01/2002,Nam,
1088,SV01088,Sinh viên 1088,0947864690,Hạ Long 1088,CNTT4,CNTT,19/03/2001,Nam,
1089,SV01089,Sinh viên 1089,0945155478,Hạ Long 1089,DL5,DL,05/04/2005,Nữ,
1090,SV01090,Sinh viên 1090,0933373092,Hạ Long 1090,NN3,NN,15/01/2002,Nam,
1091,SV01091,Sinh viên 1091,0912335328,Hạ Long 1091,DL5,DL,15/03/2003,Nữ,
1092,SV01092,Sinh viên 1092,0977154560,Hạ Long 1092,KT3,KT,03/12/2000,Nam,
1093,SV01093,Sinh viên 1093,0935463517,Hạ Long 1093,QTKD4,QTKD,18/10/2005,Nữ,
1094,SV01094,Sinh viên 1094,0943486248,Hạ Long 1094,KT1,KT,16/04/2005,Nam,
1095,SV01095,Sinh viên 1095,0995391896,Hạ Long 1095,NN5,NN,16/01/2000,Nam,
1096,SV01096,Sinh viên 1096,0983782954,Hạ Long 1096,NN4,NN,03/04/2000,Nam,
1097,SV01097,Sinh viên 1097,0916573237,Hạ Long 1097,DL3,DL,21/07/2002,Nam,
1098,SV01098,Sinh viên 1098,0987219069,Hạ Long 1098,CNTT1,CNTT,13/04/2003,Nữ,
1099,SV01099,Sinh viên 1099,0925697687,Hạ Long 1099,CNTT2,CNTT,08/07/2003,Nữ,
1100,SV01100,Sinh viên 1100,0990855036,Hạ Long 1100,NN4,NN,09/08/2000,Nữ,
1101,SV01101,Sinh viên 1101,0932273068,Hạ Long 1101,CNTT1,CNTT,07/08/2005,Nữ,
1102,SV01102,Sinh viên 1102,0943373386,Hạ Long 1102,DL4,DL,13/04/2002,Nam,
1103,SV01103,Sinh viên 1103,0997219614,Hạ Long 1103,KT3,KT,22/09/2001,Nữ,
1104,SV01104,Sinh viên 1104,0998669252,Hạ Long 1104,NN4,NN,25/04/2005,Nữ,
1105,SV01105,Sinh viên 1105,0915594738,Hạ Long 1105,CNTT3,CNTT,05/08/2000,Nữ,
1106,SV01106,Sinh viên 1106,0929599124,Hạ Long 1106,QTKD1,QTKD,21/06/2003,Nam,
1107,SV01107,Sinh viên 1107,0991891167,Hạ Long 1107,DL2,DL,23/10/2000,Nam,
1108,SV01108,Sinh viên 1108,0920399232,Hạ Long 1108,CNTT5,CNTT,21/08/2004,Nữ,
1109,SV01109,Sinh viên 1109,0964120334,Hạ Long 1109,NN4,NN,13/05/2001,Nam,
1110,SV01110,Sinh viên 1110,0933160969,Hạ Long 1110,CNTT2,CNTT,04/08/2000,Nam,
1111,SV01111,Sinh viên 1111,0978712736,Hạ Long 1111,NN1,NN,02/05/2003,Nữ,
1112,SV01112,Sinh viên 1112,0950098427,Hạ Long 1112,KT2,KT,09/10/2000,Nữ,
1113,SV01113,Sinh viên 1113,0997849022,Hạ Long 1113,NN1,NN,22/12/2005,Nữ,
1114,SV01114,Sinh viên 1114,0921406172,Hạ Long 1114,DL3,DL,05/04/2003,Nữ,
1115,SV01115,Sinh viên 1115,0915445502,Hạ Long 1115,CNTT1,CNTT,28/08/2005,Nam,
1116,SV01116,Sinh viên 1116,0930122758,Hạ Long 1116,QTKD2,QTKD,07/08/2002,Nữ,
1117,SV01117,Sinh viên 1117,0947689823,Hạ Long 1117,DL1,DL,04/02/2000,Nam,
1118,SV01118,Sinh viên 1118,0932817451,Hạ Long 1118,QTKD3,QTKD,12/11/2004,Nữ,
1119,SV01119,Sinh viên 1119,0995452899,Hạ Long 1119,CNTT2,CNTT,12/07/2002,Nam,
1120,SV01120,Sinh viên 1120,0913492306,Hạ Long 1120,DL5,DL,25/08/2002,Nữ,
1121,SV01121,Sinh viên 1121,0997984426,Hạ Long 1121,NN4,NN,04/08/2003,Nữ,
1122,SV01122,Sinh viên 1122,0930572223,Hạ Long 1122,KT2,KT,16/12/2002,Nam,
1123,SV01123,Sinh viên 1123,0948508019,Hạ Long 1123,CNTT4,CNTT,15/09/2003,Nữ,
1124,SV01124,Sinh viên 1124,0954634044,Hạ Long 1124,DL2,DL,28/07/2004,Nam,
1125,SV01125,Sinh viên 1125,0962049147,Hạ Long 1125,DL4,DL,07/06/2004,Nam,
1126,SV01126,Sinh viên 1126,0994447666,Hạ Long 1126,CNTT3,CNTT,03/08/2005,Nữ,
1127,SV01127,Sinh viên 1127,0967662702,Hạ Long 1127,QTKD2,QTKD,07/08/2005,Nam,
1128,SV01128,Sinh viên 1128,0932013636,Hạ Long 1128,NN2,NN,07/12/2002,Nữ,
1129,SV01129,Sinh viên 1129,0955258350,Hạ Long 1129,NN1,NN,11/06/2005,Nữ,
1130,SV01130,Sinh viên 1130,0990370345,Hạ Long 1130,NN1,NN,28/10/2003,Nam,
1131,SV01131,Sinh viên 1131,0926389789,Hạ Long 1131,QTKD2,QTKD,28/12/2000,Nữ,
1132,SV01132,Sinh viên 1132,0914974150,Hạ Long 1132,CNTT3,CNTT,10/06/2000,Nam,
1133,SV01133,Sinh viên 1133,0924106469,Hạ Long 1133,NN1,NN,12/01/2001,Nữ,
1134,SV01134,Sinh viên 1134,0945853304,Hạ Long 1134,QTKD4,QTKD,01/03/2003,Nam,
1135,SV01135,Sinh viên 1135,0986848327,Hạ Long 1135,KT1,KT,21/02/2003,Nam,
1136,SV01136,Sinh viên 1136,0969650253,Hạ Long 1136,DL2,DL,23/09/2001,Nam,
1137,SV01137,Sinh viên 1137,0992591373,Hạ Long 1137,QTKD2,QTKD,09/08/2001,Nữ,
1138,SV01138,Sinh viên 1138,0961777923,Hạ Long 1138,QTKD2,QTKD,08/09/2004,Nam,
1139,SV01139,Sinh viên 1139,0935688489,Hạ Long 1139,QTKD4,QTKD,23/09/2004,Nam,
1140,SV01140,Sinh viên 1140,0966994754,Hạ Long 1140,NN1,NN,20/02/2000,Nam,
1141,SV01141,Sinh viên 1141,0970710188,Hạ Long 1141,DL2,DL,07/10/2001,Nữ,
1142,SV01142,Sinh viên 1142,0981684342,Hạ Long 1142,DL4,DL,13/01/2001,Nam,
1143,SV01143,Sinh viên 1143,0949039649,Hạ Long 1143,CNTT2,CNTT,21/09/2005,Nữ,
1144,SV01144,Sinh viên 1144,0995035595,Hạ Long 1144,CNTT5,CNTT,05/12/2004,Nữ,
1145,SV01145,Sinh viên 1145,0967738982,Hạ Long 1145,NN4,NN,07/12/2000,Nam,
1146,SV01146,Sinh viên 1146,0992318056,Hạ Long 1146,QTKD4,QTKD,20/02/2004,Nam,
1147,SV01147,Sinh viên 1147,0988676768,Hạ Long 1147,DL3,DL,16/01/2005,Nam,
1148,SV01148,Sinh viên 1148,0953428690,Hạ Long 1148,CNTT4,CNTT,24/03/2004,Nam,
1149,SV01149,Sinh viên 1149,0941776059,Hạ Long 1149,KT2,KT,09/01/2005,Nam,
1150,SV01150,Sinh viên 1150,0991600077,Hạ Long 1150,CNTT1,CNTT,14/10/2001,Nam,
1151,SV01151,Sinh viên 1151,0986575688,Hạ Long 1151,DL4,DL,24/11/2001,Nữ,
1152,SV01152,Sinh viên 1152,0975989343,Hạ Long 1152,NN2,NN,13/10/2002,Nữ,
1153,SV01153,Sinh viên 1153,0988602782,Hạ Long 1153,NN5,NN,21/11/2004,Nam,
1154,SV01154,Sinh viên 1154,0918410634,Hạ Long 1154,QTKD2,QTKD,16/03/2004,Nam,
1155,SV01155,Sinh viên 1155,0969924471,Hạ Long 1155,DL3,DL,03/03/2003,Nữ,
1156,SV01156,Sinh viên 1156,0996556009,Hạ Long 1156,DL2,DL,25/01/2005,Nữ,
1157,SV01157,Sinh viên 1157,0967213207,Hạ Long 1157,QTKD5,QTKD,10/12/2000,Nam,
1158,SV01158,Sinh viên 1158,0955609250,Hạ Long 1158,CNTT4,CNTT,02/07/2000,Nữ,
1159,SV01159,Sinh viên 1159,0969482604,Hạ Long 1159,QTKD1,QTKD,16/09/2000,Nam,
1160,SV01160,Sinh viên 1160,0990842000,Hạ Long 1160,NN3,NN,17/01/2001,Nam,
1161,SV01161,Sinh viên 1161,0924991561,Hạ Long 1161,DL3,DL,27/02/2003,Nam,
1162,SV01162,Sinh viên 1162,0944515833,Hạ Long 1162,DL3,DL,24/11/2005,Nữ,
1163,SV01163,Sinh viên 1163,0938248790,Hạ Long 1163,DL1,DL,21/04/2001,Nam,
1164,SV01164,Sinh viên 1164,0978592873,Hạ Long 1164,NN3,NN,06/10/2005,Nam,
1165,SV01165,Sinh viên 1165,0999523044,Hạ Long 1165,DL5,DL,12/10/2001,Nam,
1166,SV01166,Sinh viên 1166,0962539285,Hạ Long 1166,NN1,NN,05/11/2003,Nam,
1167,SV01167,Sinh viên 1167,0911470221,Hạ Long 1167,DL5,DL,10/01/2005,Nữ,
1168,SV01168,Sinh viên 1168,0943259597,Hạ Long 1168,QTKD5,QTKD,17/05/2001,Nam,
1169,SV01169,Sinh viên 1169,0955381357,Hạ Long 1169,CNTT1,CNTT,02/05/2002,Nam,
1170,SV01170,Sinh viên 1170,0945460643,Hạ Long 1170,QTKD1,QTKD,01/09/2004,Nữ,
1171,SV01171,Sinh viên 1171,0981645165,Hạ Long 1171,CNTT5,CNTT,25/01/2004,Nữ,
1172,SV01172,Sinh viên 1172,0977043758,Hạ Long 1172,NN5,NN,04/03/2001,Nam,
1173,SV01173,Sinh viên 1173,0919024804,Hạ Long 1173,DL3,DL,27/06/2000,Nam,
1174,SV01174,Sinh viên 1174,0941056053,Hạ Long 1174,CNTT5,CNTT,20/03/2002,Nam,
1175,SV01175,Sinh viên 1175,0967549367,Hạ Long 1175,QTKD2,QTKD,14/10/2001,Nam,
1176,SV01176,Sinh viên 1176,0927269660,Hạ Long 1176,NN2,NN,09/10/2003,Nữ,
1177,SV01177,Sinh viên 1177,0988172755,Hạ Long 1177,NN4,NN,20/10/2002,Nữ,
1178,SV01178,Sinh viên 1178,0913603798,Hạ Long 1178,CNTT1,CNTT,16/07/2003,Nam,
1179,SV01179,Sinh viên 1179,0971701090,Hạ Long 1179,DL3,DL,08/12/2000,Nam,
1180,SV01180,Sinh viên 1180,0958733109,Hạ Long 1180,CNTT3,CNTT,04/02/2001,Nam,
1181,SV01181,Sinh viên 1181,0914997490,Hạ Long 1181,CNTT4,CNTT,23/05/2002,Nữ,
1182,SV01182,Sinh viên 1182,0992402542,Hạ Long 1182,NN3,NN,23/06/2005,Nữ,
1183,SV01183,Sinh viên 1183,0944660479,Hạ Long 1183,KT2,KT,22/01/2000,Nam,
1184,SV01184,Sinh viên 1184,0986842313,Hạ Long 1184,KT5,KT,04/06/2004,Nam,
1185,SV01185,Sinh viên 1185,0958706192,Hạ Long 1185,DL3,DL,16/01/2002,Nam,
1186,SV01186,Sinh viên 1186,0954692666,Hạ Long 1186,CNTT4,CNTT,04/05/2001,Nữ,
1187,SV01187,Sinh viên 1187,0977718508,Hạ Long 1187,CNTT4,CNTT,11/02/2000,Nữ,
1188,SV01188,Sinh viên 1188,0980707932,Hạ Long 1188,CNTT4,CNTT,15/11/2004,Nữ,
1189,SV01189,Sinh viên 1189,0915971161,Hạ Long 1189,DL2,DL,19/04/2000,Nam,
1190,SV01190,Sinh viên 1190,0936160247,Hạ Long 1190,CNTT1,CNTT,22/09/2002,Nam,
1191,SV01191,Sinh viên 1191,0961980258,Hạ Long 1191,NN1,NN,03/08/2002,Nam,
1192,SV01192,Sinh viên 1192,0996890371,Hạ Long 1192,DL2,DL,13/04/2002,Nữ,
1193,SV01193,Sinh viên 1193,0998798429,Hạ Long 1193,QTKD1,QTKD,18/02/2001,Nữ,
1194,SV01194,Sinh viên 1194,0922144809,Hạ Long 1194,KT4,KT,10/01/2004,Nam,
1195,SV01195,Sinh viên 1195,0932159544,Hạ Long 1195,DL1,DL,22/01/2004,Nữ,
1196,SV01196,Sinh viên 1196,0960853669,Hạ Long 1196,QTKD3,QTKD,05/12/2000,Nữ,
1197,SV01197,Sinh viên 1197,0987079081,Hạ Long 1197,QTKD1,QTKD,26/12/2001,Nam,
1198,SV01198,Sinh viên 1198,0977424549,Hạ Long 1198,QTKD2,QTKD,13/12/2001,Nam,
1199,SV01199,Sinh viên 1199,0917802058,Hạ Long 1199,NN3,NN,16/07/2004,Nam,
1200,SV01200,Sinh viên 1200,0960508025,Hạ Long 1200,QTKD2,QTKD,17/09/2000,Nam,
1201,SV01201,Sinh viên 1201,0986379966,Hạ Long 1201,QTKD3,QTKD,07/10/2002,Nữ,
1202,SV01202,Sinh viên 1202,0939521717,Hạ Long 1202,DL2,DL,17/06/2003,Nam,
1203,SV01203,Sinh viên 1203,0911281875,Hạ Long 1203,KT1,KT,07/01/2000,Nam,
1204,SV01204,Sinh viên 1204,0976227689,Hạ Long 1204,DL5,DL,14/09/2005,Nữ,
1205,SV01205,Sinh viên 1205,0943590104,Hạ Long 1205,QTKD2,QTKD,06/03/2005,Nữ,
1206,SV01206,Sinh viên 1206,0943935635,Hạ Long 1206,CNTT4,CNTT,04/05/2001,Nữ,
1207,SV01207,Sinh viên 1207,0978655199,Hạ Long 1207,NN3,NN,24/08/2005,Nữ,
1208,SV01208,Sinh viên 1208,0926943062,Hạ Long 1208,CNTT5,CNTT,16/04/2000,Nam,
1209,SV01209,Sinh viên 1209,0990936747,Hạ Long 1209,NN1,NN,15/07/2002,Nam,
1210,SV01210,Sinh viên 1210,0977706334,Hạ Long 1210,NN3,NN,26/11/2001,Nam,
1211,SV01211,Sinh viên 1211,0982414136,Hạ Long 1211,CNTT1,CNTT,16/10/2002,Nữ,
1212,SV01212,Sinh viên 1212,0978723588,Hạ Long 1212,NN2,NN,01/03/2002,Nam,
1213,SV01213,Sinh viên 1213,0940669727,Hạ Long 1213,DL3,DL,03/12/2001,Nữ,
1214,SV01214,Sinh viên 1214,0917755085,Hạ Long 1214,QTKD4,QTKD,06/02/2004,Nam,
1215,SV01215,Sinh viên 1215,0934989459,Hạ Long 1215,NN5,NN,15/06/2002,Nam,
1216,SV01216,Sinh viên 1216,0991801891,Hạ Long 1216,CNTT1,CNTT,23/10/2004,Nam,
1217,SV01217,Sinh viên 1217,0982320121,Hạ Long 1217,DL2,DL,08/01/2005,Nam,
1218,SV01218,Sinh viên 1218,0937193699,Hạ Long 1218,NN5,NN,17/11/2001,Nữ,
1219,SV01219,Sinh viên 1219,0947304219,Hạ Long 1219,DL2,DL,11/12/2004,Nam,
1220,SV01220,Sinh viên 1220,0951950615,Hạ Long 1220,DL5,DL,13/11/2005,Nam,
1221,SV01221,Sinh viên 1221,0977602530,Hạ Long 1221,DL3,DL,05/09/2000,Nữ,
1222,SV01222,Sinh viên 1222,0916720836,Hạ Long 1222,QTKD5,QTKD,27/06/2003,Nam,
1223,SV01223,Sinh viên 1223,0979210161,Hạ Long 1223,KT4,KT,13/10/2004,Nam,
1224,SV01224,Sinh viên 1224,0983065359,Hạ Long 1224,DL2,DL,19/09/2005,Nam,
1225,SV01225,Sinh viên 1225,0925098594,Hạ Long 1225,NN4,NN,26/07/2005,Nữ,
1226,SV01226,Sinh viên 1226,0961704812,Hạ Long 1226,KT2,KT,04/02/2000,Nữ,
1227,SV01227,Sinh viên 1227,0958320032,Hạ Long 1227,NN5,NN,06/11/2000,Nam,
1228,SV01228,Sinh viên 1228,0915796998,Hạ Long 1228,KT1,KT,24/02/2002,Nữ,
1229,SV01229,Sinh viên 1229,0933172005,Hạ Long 1229,CNTT4,CNTT,19/03/2001,Nữ,
1230,SV01230,Sinh viên 1230,0948655058,Hạ Long 1230,CNTT1,CNTT,23/01/2002,Nam,
1231,SV01231,Sinh viên 1231,0994910350,Hạ Long 1231,CNTT3,CNTT,25/02/2002,Nam,
1232,SV01232,Sinh viên 1232,0928656126,Hạ Long 1232,NN3,NN,28/06/2004,Nam,
1233,SV01233,Sinh viên 1233,0953414409,Hạ Long 1233,KT3,KT,19/05/2000,Nữ,
1234,SV01234,Sinh viên 1234,0987581785,Hạ Long 1234,KT3,KT,25/09/2001,Nam,
1235,SV01235,Sinh viên 1235,0990167023,Hạ Long 1235,KT5,KT,18/03/2003,Nam,
1236,SV01236,Sinh viên 1236,0925238679,Hạ Long 1236,QTKD1,QTKD,09/05/2001,Nữ,
1237,SV01237,Sinh viên 1237,0989391923,Hạ Long 1237,NN2,NN,13/05/2003,Nữ,
1238,SV01238,Sinh viên 1238,0958636087,Hạ Long 1238,KT3,KT,13/09/2003,Nữ,
1239,SV01239,Sinh viên 1239,0974724911,Hạ Long 1239,KT2,KT,27/01/2001,Nam,
1240,SV01240,Sinh viên 1240,0926486822,Hạ Long 1240,NN1,NN,13/05/2003,Nữ,
1241,SV01241,Sinh viên 1241,0924478175,Hạ Long 1241,QTKD1,QTKD,03/07/2004,Nam,
1242,SV01242,Sinh viên 1242,0934099376,Hạ Long 1242,KT5,KT,25/09/2005,Nam,
1243,SV01243,Sinh viên 1243,0954582063,Hạ Long 1243,KT5,KT,26/09/2005,Nam,
1244,SV01244,Sinh viên 1244,0933712815,Hạ Long 1244,NN4,NN,14/08/2002,Nữ,
1245,SV01245,Sinh viên 1245,0976780671,Hạ Long 1245,KT4,KT,07/09/2003,Nữ,
1246,SV01246,Sinh viên 1246,0923537511,Hạ Long 1246,NN4,NN,05/12/2001,Nữ,
1247,SV01247,Sinh viên 1247,0938506812,Hạ Long 1247,QTKD3,QTKD,10/10/2003,Nam,
1248,SV01248,Sinh viên 1248,0969924436,Hạ Long 1248,NN4,NN,09/05/2000,Nam,
1249,SV01249,Sinh viên 1249,0959269916,Hạ Long 1249,CNTT4,CNTT,25/03/2004,Nữ,
1250,SV01250,Sinh viên 1250,0915848837,Hạ Long 1250,CNTT5,CNTT,04/01/2004,Nam,
1251,SV01251,Sinh viên 1251,0973853433,Hạ Long 1251,CNTT1,CNTT,28/10/2005,Nữ,
1252,SV01252,Sinh viên 1252,0964357223,Hạ Long 1252,QTKD5,QTKD,09/02/2001,Nam,
1253,SV01253,Sinh viên 1253,0956807764,Hạ Long 1253,KT4,KT,18/05/2001,Nữ,
1254,SV01254,Sinh viên 1254,0991024661,Hạ Long 1254,DL2,DL,06/10/2000,Nam,
1255,SV01255,Sinh viên 1255,0917102254,Hạ Long 1255,QTKD1,QTKD,08/07/2005,Nữ,
1256,SV01256,Sinh viên 1256,0962873696,Hạ Long 1256,DL5,DL,20/05/2001,Nam,
1257,SV01257,Sinh viên 1257,0940831635,Hạ Long 1257,NN2,NN,28/07/2003,Nữ,
1258,SV01258,Sinh viên 1258,0919798334,Hạ Long 1258,NN3,NN,14/02/2001,Nam,
1259,SV01259,Sinh viên 1259,0950479034,Hạ Long 1259,NN5,NN,27/12/2003,Nữ,
1260,SV01260,Sinh viên 1260,0987378923,Hạ Long 1260,CNTT1,CNTT,09/04/2000,Nam,
1261,SV01261,Sinh viên 1261,0927535418,Hạ Long 1261,KT2,KT,07/07/2000,Nữ,
1262,SV01262,Sinh viên 1262,0911001362,Hạ Long 1262,CNTT2,CNTT,16/01/2000,Nữ,
1263,SV01263,Sinh viên 1263,0952891113,Hạ Long 1263,QTKD2,QTKD,27/01/2004,Nam,
1264,SV01264,Sinh viên 1264,0971451140,Hạ Long 1264,KT4,KT,28/07/2001,Nữ,
1265,SV01265,Sinh viên 1265,0955127868,Hạ Long 1265,QTKD3,QTKD,22/03/2002,Nam,
1266,SV01266,Sinh viên 1266,0974172454,Hạ Long 1266,DL5,DL,18/02/2003,Nam,
1267,SV01267,Sinh viên 1267,0912542270,Hạ Long 1267,NN3,NN,17/06/2000,Nam,
1268,SV01268,Sinh viên 1268,0915530851,Hạ Long 1268,QTKD1,QTKD,23/09/2001,Nam,
1269,SV01269,Sinh viên 1269,0994671668,Hạ Long 1269,NN2,NN,02/12/2002,Nam,
1270,SV01270,Sinh viên 1270,0978791510,Hạ Long 1270,NN1,NN,28/04/2000,Nam,
1271,SV01271,Sinh viên 1271,0988688373,Hạ Long 1271,KT5,KT,02/05/2003,Nam,
1272,SV01272,Sinh viên 1272,0985521534,Hạ Long 1272,KT2,KT,11/09/2003,Nữ,
1273,SV01273,Sinh viên 1273,0951265892,Hạ Long 1273,CNTT5,CNTT,07/08/2002,Nam,
1274,SV01274,Sinh viên 1274,0974409598,Hạ Long 1274,NN3,NN,03/07/2005,Nam,
1275,SV01275,Sinh viên 1275,0949071225,Hạ Long 1275,NN4,NN,26/09/2003,Nữ,
1276,SV01276,Sinh viên 1276,0979840255,Hạ Long 1276,DL4,DL,15/07/2001,Nữ,
1277,SV01277,Sinh viên 1277,0953105008,Hạ Long 1277,QTKD3,QTKD,14/03/2004,Nam,
1278,SV01278,Sinh viên 1278,0995261158,Hạ Long 1278,NN3,NN,28/08/2004,Nam,
1279,SV01279,Sinh viên 1279,0970680100,Hạ Long 1279,KT3,KT,09/11/2004,Nam,
1280,SV01280,Sinh viên 1280,0994692780,Hạ Long 1280,CNTT3,CNTT,08/08/2003,Nữ,
1281,SV01281,Sinh viên 1281,0945718062,Hạ Long 1281,QTKD4,QTKD,13/07/2003,Nữ,
1282,SV01282,Sinh viên 1282,0945292112,Hạ Long 1282,DL5,DL,03/08/2000,Nữ,
1283,SV01283,Sinh viên 1283,0929789932,Hạ Long 1283,DL3,DL,21/06/2004,Nữ,
1284,SV01284,Sinh viên 1284,0929294958,Hạ Long 1284,NN5,NN,05/07/2000,Nam,
1285,SV01285,Sinh viên 1285,0965972493,Hạ Long 1285,CNTT2,CNTT,10/10/2004,Nam,
1286,SV01286,Sinh viên 1286,0922711699,Hạ Long 1286,KT4,KT,02/09/2001,Nam,
1287,SV01287,Sinh viên 1287,0934110351,Hạ Long 1287,QTKD2,QTKD,27/05/2001,Nữ,
1288,SV01288,Sinh viên 1288,0960123422,Hạ Long 1288,NN2,NN,09/12/2005,Nam,
1289,SV01289,Sinh viên 1289,0938221588,Hạ Long 1289,DL1,DL,17/02/2002,Nữ,
1290,SV01290,Sinh viên 1290,0937552780,Hạ Long 1290,NN2,NN,10/07/2002,Nữ,
1291,SV01291,Sinh viên 1291,0960557400,Hạ Long 1291,DL4,DL,02/12/2000,Nữ,
1292,SV01292,Sinh viên 1292,0940536172,Hạ Long 1292,DL3,DL,02/01/2005,Nữ,
1293,SV01293,Sinh viên 1293,0976474856,Hạ Long 1293,KT3,KT,15/07/2002,Nữ,
1294,SV01294,Sinh viên 1294,0950180709,Hạ Long 1294,KT2,KT,24/06/2004,Nam,
1295,SV01295,Sinh viên 1295,0916570134,Hạ Long 1295,QTKD4,QTKD,14/06/2000,Nữ,
1296,SV01296,Sinh viên 1296,0977801769,Hạ Long 1296,QTKD4,QTKD,24/06/2001,Nam,
1297,SV01297,Sinh viên 1297,0966165933,Hạ Long 1297,CNTT3,CNTT,09/10/2004,Nam,
1298,SV01298,Sinh viên 1298,0924384506,Hạ Long 1298,CNTT1,CNTT,13/05/2002,Nữ,
1299,SV01299,Sinh viên 1299,0980167168,Hạ Long 1299,NN2,NN,08/01/2003,Nam,
1300,SV01300,Sinh viên 1300,0941507189,Hạ Long 1300,CNTT5,CNTT,13/08/2001,Nam,
1301,SV01301,Sinh viên 1301,0940603166,Hạ Long 1301,CNTT1,CNTT,21/08/2002,Nam,
1302,SV01302,Sinh viên 1302,0925421145,Hạ Long 1302,KT2,KT,10/07/2003,Nam,
1303,SV01303,Sinh viên 1303,0914669012,Hạ Long 1303,DL3,DL,21/04/2004,Nam,
1304,SV01304,Sinh viên 1304,0974641836,Hạ Long 1304,NN1,NN,08/02/2001,Nam,
1305,SV01305,Sinh viên 1305,0961077864,Hạ Long 1305,KT2,KT,20/12/2004,Nữ,
1306,SV01306,Sinh viên 1306,0990634213,Hạ Long 1306,CNTT2,CNTT,21/02/2002,Nữ,
1307,SV01307,Sinh viên 1307,0949843008,Hạ Long 1307,CNTT4,CNTT,04/03/2004,Nữ,
1308,SV01308,Sinh viên 1308,0930066492,Hạ Long 1308,KT4,KT,08/02/2002,Nam,
1309,SV01309,Sinh viên 1309,0932771855,Hạ Long 1309,QTKD5,QTKD,24/01/2005,Nam,
1310,SV01310,Sinh viên 1310,0977228090,Hạ Long 1310,KT5,KT,03/12/2003,Nam,
1311,SV01311,Sinh viên 1311,0931676822,Hạ Long 1311,KT5,KT,28/04/2000,Nữ,
1312,SV01312,Sinh viên 1312,0927089435,Hạ Long 1312,NN3,NN,20/01/2000,Nữ,
1313,SV01313,Sinh viên 1313,0948218600,Hạ Long 1313,NN4,NN,03/01/2004,Nữ,
1314,SV01314,Sinh viên 1314,0932025762,Hạ Long 1314,CNTT2,CNTT,23/11/2000,Nữ,
1315,SV01315,Sinh viên 1315,0929430157,Hạ Long 1315,NN4,NN,24/02/2005,Nam,
1316,SV01316,Sinh viên 1316,0952077314,Hạ Long 1316,DL5,DL,02/04/2002,Nữ,
1317,SV01317,Sinh viên 1317,0927318839,Hạ Long 1317,QTKD1,QTKD,08/03/2001,Nam,
1318,SV01318,Sinh viên 1318,0945652160,Hạ Long 1318,DL2,DL,09/12/2000,Nam,
1319,SV01319,Sinh viên 1319,0980316391,Hạ Long 1319,KT2,KT,01/06/2002,Nữ,
1320,SV01320,Sinh viên 1320,0938926494,Hạ Long 1320,QTKD1,QTKD,18/03/2005,Nữ,
1321,SV01321,Sinh viên 1321,0950991383,Hạ Long 1321,DL1,DL,16/06/2001,Nữ,
1322,SV01322,Sinh viên 1322,0922309163,Hạ Long 1322,QTKD5,QTKD,05/06/2001,Nam,
1323,SV01323,Sinh viên 1323,0959727451,Hạ Long 1323,CNTT5,CNTT,08/02/2001,Nam,
1324,SV01324,Sinh viên 1324,0913351867,Hạ Long 1324,CNTT2,CNTT,07/08/2002,Nam,
1325,SV01325,Sinh viên 1325,0926848023,Hạ Long 1325,DL5,DL,05/01/2004,Nữ,
1326,SV01326,Sinh viên 1326,0944653839,Hạ Long 1326,KT4,KT,20/08/2004,Nữ,
1327,SV01327,Sinh viên 1327,0999476003,Hạ Long 1327,DL3,DL,26/11/2005,Nam,
1328,SV01328,Sinh viên 1328,0946155396,Hạ Long 1328,CNTT1,CNTT,14/03/2001,Nữ,
1329,SV01329,Sinh viên 1329,0995887390,Hạ Long 1329,KT1,KT,12/10/2004,Nam,
1330,SV01330,Sinh viên 1330,0997892377,Hạ Long 1330,QTKD3,QTKD,16/01/2002,Nam,
1331,SV01331,Sinh viên 1331,0964755152,Hạ Long 1331,NN3,NN,24/06/2002,Nam,
1332,SV01332,Sinh viên 1332,0981958410,Hạ Long 1332,NN5,NN,05/02/2001,Nam,
1333,SV01333,Sinh viên 1333,0959632233,Hạ Long 1333,KT2,KT,14/03/2005,Nam,
1334,SV01334,Sinh viên 1334,0999299968,Hạ Long 1334,CNTT3,CNTT,06/08/2003,Nam,
1335,SV01335,Sinh viên 1335,0946462034,Hạ Long 1335,KT2,KT,02/06/2005,Nam,
1336,SV01336,Sinh viên 1336,0919822855,Hạ Long 1336,NN2,NN,28/03/2002,Nữ,
1337,SV01337,Sinh viên 1337,0981041422,Hạ Long 1337,DL4,DL,04/12/2000,Nữ,
1338,SV01338,Sinh viên 1338,0997242866,Hạ Long 1338,CNTT1,CNTT,05/10/2001,Nữ,
1339,SV01339,Sinh viên 1339,0978690621,Hạ Long 1339,NN4,NN,03/10/2005,Nam,
1340,SV01340,Sinh viên 1340,0982272304,Hạ Long 1340,DL1,DL,02/03/2005,Nam,
1341,SV01341,Sinh viên 1341,0955180006,Hạ Long 1341,NN5,NN,27/09/2004,Nam,
1342,SV01342,Sinh viên 1342,0950135105,Hạ Long 1342,CNTT5,CNTT,07/02/2003,Nữ,
1343,SV01343,Sinh viên 1343,0983104337,Hạ Long 1343,QTKD1,QTKD,26/12/2005,Nam,
