id,masv,hoten,cc,dk1,dk2,dt,diem_trung_binh,ghi_chu
823,SV00823,Sinh viên 823,9.2,6.6,4.6,6.3,6.38,Trung bình
824,SV00824,Sinh viên 824,8.2,7.8,8.2,3.4,5.26,Trung bình
825,SV00825,Sinh viên 825,6.8,6.4,9.1,7.4,7.45,Khá
826,SV00826,Sinh viên 826,7.6,4.6,7.4,5.6,5.92,Trung bình
827,SV00827,Sinh viên 827,5.2,8.4,8.7,4.6,5.84,Trung bình
828,SV00828,Sinh viên 828,8.9,6.0,7.7,5.3,6.12,Trung bình
829,SV00829,Sinh viên 829,6.4,7.3,5.4,5.3,5.72,Trung bình
830,SV00830,Sinh viên 830,8.8,7.7,9.5,6.4,7.3,Khá
831,SV00831,Sinh viên 831,8.1,10.0,5.3,5.6,6.46,Trung bình
832,SV00832,Sinh viên 832,6.3,6.0,5.5,8.9,7.7,Khá
833,SV00833,Sinh viên 833,7.9,9.4,8.6,7.7,8.11,Giỏi
834,SV00834,Sinh viên 834,9.7,5.2,9.8,4.8,6.1,Trung bình
835,SV00835,Sinh viên 835,5.2,3.2,9.5,5.4,5.67,Trung bình
836,SV00836,Sinh viên 836,7.4,3.2,3.7,4.1,4.23,Yếu
837,SV00837,Sinh viên 837,9.1,6.2,5.3,4.3,5.21,Trung bình
838,SV00838,Sinh viên 838,5.7,8.6,8.3,4.7,5.92,Trung bình
839,SV00839,Sinh viên 839,9.3,5.3,9.8,7.5,7.7,Khá
840,SV00840,Sinh viên 840,7.4,5.4,5.9,5.5,5.73,Trung bình
841,SV00841,Sinh viên 841,9.9,9.9,6.0,7.1,7.63,Khá
842,SV00842,Sinh viên 842,5.8,4.9,4.2,7.1,6.21,Trung bình
843,SV00843,Sinh viên 843,6.2,5.9,3.5,4.4,4.67,Yếu
844,SV00844,Sinh viên 844,7.4,6.4,3.9,5.7,5.71,Trung bình
845,SV00845,Sinh viên 845,5.8,6.3,8.9,2.9,4.6,Yếu
846,SV00846,Sinh viên 846,9.6,5.4,8.2,4.3,5.58,Trung bình
847,SV00847,Sinh viên 847,6.8,8.4,5.5,4.3,5.34,Trung bình
848,SV00848,Sinh viên 848,8.7,7.2,8.5,5.8,6.71,Khá
849,SV00849,Sinh viên 849,5.3,6.2,5.7,9.6,8.07,Giỏi
850,SV00850,Sinh viên 850,5.3,3.7,3.6,5.7,5.04,Trung bình
851,SV00851,Sinh viên 851,7.7,8.4,8.0,4.9,6.17,Trung bình
852,SV00852,Sinh viên 852,6.9,7.0,8.4,7.4,7.44,Khá
853,SV00853,Sinh viên 853,7.7,8.3,3.7,7.3,6.95,Khá
854,SV00854,Sinh viên 854,9.5,3.8,5.1,5.4,5.53,Trung bình
855,SV00855,Sinh viên 855,8.3,8.2,5.4,2.8,4.55,Yếu
856,SV00856,Sinh viên 856,7.8,8.4,8.8,7.6,7.92,Khá
857,SV00857,Sinh viên 857,6.2,8.6,7.9,6.6,7.05,Khá
858,SV00858,Sinh viên 858,8.8,4.4,9.6,9.5,8.68,Giỏi
859,SV00859,Sinh viên 859,9.6,6.4,7.8,7.8,7.77,Khá
860,SV00860,Sinh viên 860,7.6,4.4,3.8,3.8,4.27,Yếu
861,SV00861,Sinh viên 861,7.1,4.9,7.6,7.1,6.84,Khá
862,SV00862,Sinh viên 862,5.7,10.0,8.3,9.0,8.71,Giỏi
863,SV00863,Sinh viên 863,6.2,8.2,3.1,7.7,6.94,Khá
864,SV00864,Sinh viên 864,6.6,5.6,8.2,8.3,7.71,Khá
865,SV00865,Sinh viên 865,5.7,7.2,4.3,6.7,6.31,Trung bình
866,SV00866,Sinh viên 866,7.8,5.4,3.2,7.4,6.51,Khá
867,SV00867,Sinh viên 867,8.4,5.1,6.8,8.1,7.48,Khá
868,SV00868,Sinh viên 868,7.1,7.1,5.0,5.9,6.06,Trung bình
869,SV00869,Sinh viên 869,7.2,6.5,3.7,2.9,3.99,Yếu
870,SV00870,Sinh viên 870,5.3,4.8,7.9,7.6,6.99,Khá
871,SV00871,Sinh viên 871,5.9,6.9,7.2,5.4,5.95,Trung bình
872,SV00872,Sinh viên 872,7.5,8.6,3.5,8.6,7.72,Khá
873,SV00873,Sinh viên 873,7.2,4.3,4.6,7.5,6.55,Khá
874,SV00874,Sinh viên 874,9.7,6.1,5.5,8.9,8.05,Giỏi
875,SV00875,Sinh viên 875,9.4,8.4,8.2,2.7,5.05,Trung bình
876,SV00876,Sinh viên 876,9.8,5.6,8.6,6.9,7.25,Khá
877,SV00877,Sinh viên 877,5.5,3.7,5.9,4.6,4.75,Yếu
878,SV00878,Sinh viên 878,8.8,6.6,7.4,9.6,8.74,Giỏi
879,SV00879,Sinh viên 879,8.9,6.6,7.6,9.1,8.48,Giỏi
880,SV00880,Sinh viên 880,6.9,6.3,3.8,9.5,7.91,Khá
881,SV00881,Sinh viên 881,8.4,8.8,7.4,6.0,6.87,Khá
882,SV00882,Sinh viên 882,7.4,5.1,3.8,6.7,6.09,Trung bình
883,SV00883,Sinh viên 883,8.4,4.2,7.2,4.8,5.43,Trung bình
884,SV00884,Sinh viên 884,8.0,3.1,4.9,2.3,3.38,Yếu
885,SV00885,Sinh viên 885,8.9,6.5,6.2,8.6,7.95,Khá
886,SV00886,Sinh viên 886,9.4,5.9,7.8,9.9,8.94,Giỏi
887,SV00887,Sinh viên 887,7.2,8.5,5.2,4.4,5.42,Trung bình
888,SV00888,Sinh viên 888,8.0,7.4,9.1,2.8,4.96,Yếu
889,SV00889,Sinh viên 889,6.6,4.9,6.9,4.1,4.89,Yếu
890,SV00890,Sinh viên 890,9.5,7.2,8.9,3.0,5.17,Trung bình
891,SV00891,Sinh viên 891,7.0,4.9,5.1,8.8,7.48,Khá
892,SV00892,Sinh viên 892,8.9,4.0,7.3,4.6,5.34,Trung bình
893,SV00893,Sinh viên 893,5.8,8.8,3.6,4.8,5.32,Trung bình
894,SV00894,Sinh viên 894,7.8,7.8,7.1,2.7,4.63,Yếu
895,SV00895,Sinh viên 895,7.1,6.5,5.4,2.9,4.24,Yếu
896,SV00896,Sinh viên 896,5.1,6.0,3.2,3.3,3.87,Yếu
897,SV00897,Sinh viên 897,5.4,5.4,9.2,6.1,6.39,Trung bình
898,SV00898,Sinh viên 898,7.9,6.3,8.2,7.4,7.41,Khá
899,SV00899,Sinh viên 899,6.9,3.7,9.8,8.9,8.05,Giỏi
900,SV00900,Sinh viên 900,8.5,5.3,7.4,5.6,6.12,Trung bình
901,SV00901,Sinh viên 901,8.2,5.6,5.4,8.6,7.63,Khá
902,SV00902,Sinh viên 902,7.5,4.5,8.3,9.2,8.19,Giỏi
903,SV00903,Sinh viên 903,8.9,9.6,6.9,2.8,5.04,Trung bình
904,SV00904,Sinh viên 904,6.4,7.6,3.7,4.7,5.15,Trung bình
905,SV00905,Sinh viên 905,6.8,3.8,6.8,4.5,4.97,Yếu
906,SV00906,Sinh viên 906,9.0,7.7,6.1,2.7,4.59,Yếu
907,SV00907,Sinh viên 907,7.0,6.3,5.9,2.6,4.09,Yếu
908,SV00908,Sinh viên 908,5.0,5.2,4.0,7.1,6.14,Trung bình
909,SV00909,Sinh viên 909,5.4,4.2,6.7,9.2,7.69,Khá
910,SV00910,Sinh viên 910,7.4,3.7,3.5,9.9,7.76,Khá
911,SV00911,Sinh viên 911,6.6,4.6,4.9,7.4,6.53,Khá
912,SV00912,Sinh viên 912,8.2,4.0,9.3,8.6,7.97,Khá
913,SV00913,Sinh viên 913,6.6,4.6,4.3,2.5,3.49,Yếu
914,SV00914,Sinh viên 914,6.8,6.4,9.0,7.3,7.37,Khá
915,SV00915,Sinh viên 915,8.4,8.3,5.4,9.1,8.36,Giỏi
916,SV00916,Sinh viên 916,9.7,9.8,7.9,4.6,6.38,Trung bình
917,SV00917,Sinh viên 917,6.9,7.1,3.5,6.2,6.0,Trung bình
918,SV00918,Sinh viên 918,8.4,5.7,7.0,5.9,6.29,Trung bình
919,SV00919,Sinh viên 919,5.7,5.9,6.0,9.2,7.88,Khá
920,SV00920,Sinh viên 920,6.2,6.6,8.6,9.0,8.3,Giỏi
921,SV00921,Sinh viên 921,5.2,4.5,4.6,4.0,4.29,Yếu
922,SV00922,Sinh viên 922,9.0,8.1,4.1,4.2,5.25,Trung bình
923,SV00923,Sinh viên 923,5.8,8.2,3.1,9.6,8.04,Giỏi
924,SV00924,Sinh viên 924,9.5,9.6,5.7,9.7,9.06,Giỏi
925,SV00925,Sinh viên 925,5.2,9.6,6.4,9.8,8.8,Giỏi
926,SV00926,Sinh viên 926,8.5,5.0,3.3,3.1,3.96,Yếu
927,SV00927,Sinh viên 927,6.5,8.3,4.5,7.5,7.07,Khá
928,SV00928,Sinh viên 928,7.6,7.7,5.1,7.6,7.24,Khá
929,SV00929,Sinh viên 929,5.3,9.8,8.9,6.5,7.23,Khá
930,SV00930,Sinh viên 930,6.7,7.5,6.2,3.5,4.82,Yếu
931,SV00931,Sinh viên 931,8.2,4.8,5.1,9.9,8.25,Giỏi
932,SV00932,Sinh viên 932,6.9,3.3,4.8,3.6,4.06,Yếu
933,SV00933,Sinh viên 933,9.1,5.8,3.1,7.1,6.5,Khá
934,SV00934,Sinh viên 934,9.6,6.4,8.5,2.0,4.39,Yếu
935,SV00935,Sinh viên 935,9.8,6.7,4.1,2.8,4.28,Yếu
936,SV00936,Sinh viên 936,9.4,7.4,4.8,3.2,4.69,Yếu
937,SV00937,Sinh viên 937,6.0,3.5,9.4,5.5,5.83,Trung bình
938,SV00938,Sinh viên 938,8.0,6.7,3.5,4.8,5.21,Trung bình
939,SV00939,Sinh viên 939,8.2,6.6,7.6,3.5,5.05,Trung bình
940,SV00940,Sinh viên 940,7.4,6.1,8.8,4.2,5.5,Trung bình
941,SV00941,Sinh viên 941,5.8,9.9,9.7,7.7,8.14,Giỏi
942,SV00942,Sinh viên 942,10.0,4.7,5.8,4.9,5.52,Trung bình
943,SV00943,Sinh viên 943,6.6,4.5,7.2,3.8,4.7,Yếu
944,SV00944,Sinh viên 944,6.9,5.1,7.1,7.5,7.02,Khá
945,SV00945,Sinh viên 945,9.4,6.8,4.7,5.6,6.03,Trung bình
946,SV00946,Sinh viên 946,8.1,7.9,6.7,3.8,5.28,Trung bình
947,SV00947,Sinh viên 947,8.5,6.9,4.5,6.6,6.52,Khá
948,SV00948,Sinh viên 948,5.7,10.0,9.3,2.1,4.72,Yếu
949,SV00949,Sinh viên 949,9.6,9.7,7.6,6.7,7.57,Khá
950,SV00950,Sinh viên 950,8.6,8.8,3.7,9.6,8.49,Giỏi
951,SV00951,Sinh viên 951,5.7,8.6,5.9,9.4,8.38,Giỏi
952,SV00952,Sinh viên 952,9.4,3.4,7.3,6.4,6.38,Trung bình
953,SV00953,Sinh viên 953,5.1,8.5,6.7,3.9,5.13,Trung bình
954,SV00954,Sinh viên 954,7.4,9.3,5.3,4.5,5.63,Trung bình
955,SV00955,Sinh viên 955,8.4,5.9,4.1,6.8,6.42,Trung bình
956,SV00956,Sinh viên 956,7.8,9.9,3.9,6.7,6.87,Khá
957,SV00957,Sinh viên 957,5.4,6.3,7.9,2.9,4.41,Yếu
958,SV00958,Sinh viên 958,7.4,4.1,4.2,7.2,6.31,Trung bình
959,SV00959,Sinh viên 959,7.2,7.9,8.5,4.2,5.7,Trung bình
960,SV00960,Sinh viên 960,8.2,6.0,6.6,6.2,6.43,Trung bình
961,SV00961,Sinh viên 961,6.5,4.2,3.4,4.8,4.67,Yếu
962,SV00962,Sinh viên 962,6.6,7.7,3.8,2.4,3.82,Yếu
963,SV00963,Sinh viên 963,9.4,5.9,3.4,8.0,7.13,Khá
964,SV00964,Sinh viên 964,8.4,3.9,9.5,3.7,5.07,Trung bình
965,SV00965,Sinh viên 965,9.4,5.7,5.3,8.8,7.87,Khá
966,SV00966,Sinh viên 966,7.8,8.0,6.2,2.6,4.47,Yếu
967,SV00967,Sinh viên 967,5.2,4.7,6.2,3.8,4.44,Yếu
968,SV00968,Sinh viên 968,5.9,3.5,6.1,4.4,4.67,Yếu
969,SV00969,Sinh viên 969,6.8,4.5,6.1,8.6,7.43,Khá
970,SV00970,Sinh viên 970,9.1,7.6,7.7,9.1,8.66,Giỏi
971,SV00971,Sinh viên 971,10.0,5.2,7.8,6.8,7.03,Khá
972,SV00972,Sinh viên 972,7.6,4.6,8.4,5.1,5.77,Trung bình
973,SV00973,Sinh viên 973,7.4,4.1,6.8,7.3,6.75,Khá
974,SV00974,Sinh viên 974,8.5,8.4,3.7,8.9,8.0,Giỏi
975,SV00975,Sinh viên 975,5.2,8.3,9.2,2.1,4.41,Yếu
976,SV00976,Sinh viên 976,6.5,6.0,4.8,4.9,5.21,Trung bình
977,SV00977,Sinh viên 977,6.3,8.1,5.6,5.2,5.8,Trung bình
978,SV00978,Sinh viên 978,6.3,9.3,4.5,8.5,7.8,Khá
979,SV00979,Sinh viên 979,8.7,8.4,7.1,6.0,6.79,Khá
980,SV00980,Sinh viên 980,6.1,4.0,3.5,2.5,3.23,Yếu
981,SV00981,Sinh viên 981,5.1,6.9,9.6,5.6,6.35,Trung bình
982,SV00982,Sinh viên 982,5.0,8.9,5.5,6.6,6.62,Khá
983,SV00983,Sinh viên 983,9.9,6.1,8.9,5.8,6.72,Khá
984,SV00984,Sinh viên 984,7.2,4.7,4.3,7.3,6.45,Trung bình
985,SV00985,Sinh viên 985,9.1,8.2,5.0,4.3,5.47,Trung bình
986,SV00986,Sinh viên 986,8.7,7.8,3.5,5.3,5.74,Trung bình
987,SV00987,Sinh viên 987,6.2,9.2,5.4,2.4,4.25,Yếu
988,SV00988,Sinh viên 988,6.1,9.1,9.2,9.4,8.99,Giỏi
989,SV00989,Sinh viên 989,6.3,7.5,4.9,6.3,6.27,Trung bình
990,SV00990,Sinh viên 990,7.3,4.0,3.1,9.5,7.5,Khá
991,SV00991,Sinh viên 991,6.2,5.7,9.9,9.2,8.48,Giỏi
992,SV00992,Sinh viên 992,6.5,9.2,7.7,9.0,8.58,Giỏi
993,SV00993,Sinh viên 993,9.3,8.5,10.0,2.5,5.21,Trung bình
994,SV00994,Sinh viên 994,9.5,6.5,6.9,5.2,6.08,Trung bình
995,SV00995,Sinh viên 995,6.2,3.5,9.7,8.2,7.52,Khá
996,SV00996,Sinh viên 996,6.0,6.0,3.2,9.9,7.92,Khá
997,SV00997,Sinh viên 997,6.6,9.6,4.6,3.6,4.95,Yếu
998,SV00998,Sinh viên 998,6.9,4.7,8.9,9.5,8.43,Giỏi
999,SV00999,Sinh viên 999,6.1,5.9,9.1,7.5,7.36,Khá
1000,SV01000,Sinh viên 1000,5.7,8.0,7.1,5.2,5.96,Trung bình
1001,SV01001,Sinh viên 1001,7.4,8.6,10.0,5.2,6.65,Khá
1002,SV01002,Sinh viên 1002,5.2,9.7,4.5,5.5,5.95,Trung bình
1003,SV01003,Sinh viên 1003,5.3,6.3,5.4,7.3,6.67,Khá
1004,SV01004,Sinh viên 1004,8.4,5.6,3.4,9.8,8.07,Giỏi
1005,SV01005,Sinh viên 1005,7.0,8.2,3.8,8.0,7.3,Khá
1006,SV01006,Sinh viên 1006,8.6,9.5,4.5,4.5,5.66,Trung bình
1007,SV01007,Sinh viên 1007,6.2,8.0,3.1,6.3,6.06,Trung bình
1008,SV01008,Sinh viên 1008,6.6,9.0,6.5,7.3,7.37,Khá
1009,SV01009,Sinh viên 1009,5.7,8.6,4.4,7.9,7.26,Khá
1010,SV01010,Sinh viên 1010,9.5,9.0,6.4,5.6,6.62,Khá
1011,SV01011,Sinh viên 1011,8.2,7.8,5.7,8.6,8.0,Giỏi
1012,SV01012,Sinh viên 1012,7.2,6.7,5.9,5.2,5.73,Trung bình
1013,SV01013,Sinh viên 1013,5.6,7.1,9.7,7.7,7.7,Khá
1014,SV01014,Sinh viên 1014,8.6,7.3,6.4,8.9,8.25,Giỏi
1015,SV01015,Sinh viên 1015,8.3,5.7,7.0,2.5,4.23,Yếu
1016,SV01016,Sinh viên 1016,9.6,9.6,6.9,3.8,5.71,Trung bình
1017,SV01017,Sinh viên 1017,5.6,4.1,8.1,3.5,4.49,Yếu
1018,SV01018,Sinh viên 1018,6.1,7.8,5.5,6.3,6.38,Trung bình
1019,SV01019,Sinh viên 1019,9.9,9.4,7.7,7.3,7.94,Khá
1020,SV01020,Sinh viên 1020,8.9,4.7,6.2,5.3,5.71,Trung bình
1021,SV01021,Sinh viên 1021,6.0,6.3,4.1,6.9,6.3,Trung bình
1022,SV01022,Sinh viên 1022,8.0,3.2,4.9,9.1,7.47,Khá
1023,SV01023,Sinh viên 1023,5.3,9.4,3.6,3.4,4.52,Yếu
1024,SV01024,Sinh viên 1024,9.5,8.6,6.5,7.3,7.59,Khá
1025,SV01025,Sinh viên 1025,6.4,5.9,5.8,4.8,5.28,Trung bình
1026,SV01026,Sinh viên 1026,7.5,5.7,3.9,4.4,4.83,Yếu
1027,SV01027,Sinh viên 1027,7.8,5.6,8.9,8.9,8.29,Giỏi
1028,SV01028,Sinh viên 1028,7.5,8.0,8.8,7.5,7.77,Khá
1029,SV01029,Sinh viên 1029,9.1,7.8,4.1,4.2,5.21,Trung bình
1030,SV01030,Sinh viên 1030,8.9,5.9,4.9,9.7,8.33,Giỏi
1031,SV01031,Sinh viên 1031,8.4,5.8,7.6,9.5,8.55,Giỏi
1032,SV01032,Sinh viên 1032,5.1,9.7,8.3,5.7,6.63,Khá
1033,SV01033,Sinh viên 1033,8.1,6.7,3.6,2.9,4.1,Yếu
1034,SV01034,Sinh viên 1034,9.8,3.2,7.2,4.0,4.94,Yếu
1035,SV01035,Sinh viên 1035,10.0,8.5,7.8,3.1,5.3,Trung bình
1036,SV01036,Sinh viên 1036,5.4,9.7,6.5,4.8,5.85,Trung bình
1037,SV01037,Sinh viên 1037,8.7,3.7,5.3,2.5,3.72,Yếu
1038,SV01038,Sinh viên 1038,6.0,8.0,4.2,5.0,5.43,Trung bình
1039,SV01039,Sinh viên 1039,7.4,6.9,5.4,2.0,3.79,Yếu
1040,SV01040,Sinh viên 1040,8.5,5.3,8.5,9.8,8.8,Giỏi
1041,SV01041,Sinh viên 1041,5.3,6.5,4.7,5.1,5.27,Trung bình
1042,SV01042,Sinh viên 1042,5.0,6.7,6.3,3.9,4.79,Yếu
1043,SV01043,Sinh viên 1043,5.8,5.7,5.9,2.9,4.06,Yếu
1044,SV01044,Sinh viên 1044,5.9,5.4,8.9,7.7,7.36,Khá
1045,SV01045,Sinh viên 1045,9.5,5.9,3.2,9.0,7.71,Khá
1046,SV01046,Sinh viên 1046,5.4,6.8,7.7,2.5,4.21,Yếu
1047,SV01047,Sinh viên 1047,8.4,7.5,5.1,4.7,5.55,Trung bình
1048,SV01048,Sinh viên 1048,7.1,7.4,4.3,3.0,4.26,Yếu
1049,SV01049,Sinh viên 1049,9.4,8.0,7.0,5.8,6.67,Khá
1050,SV01050,Sinh viên 1050,6.6,7.8,4.0,9.9,8.37,Giỏi
1051,SV01051,Sinh viên 1051,6.7,8.2,9.5,2.6,4.88,Yếu
1052,SV01052,Sinh viên 1052,9.1,4.7,4.5,7.7,6.91,Khá
1053,SV01053,Sinh viên 1053,9.4,3.6,6.6,6.0,6.07,Trung bình
1054,SV01054,Sinh viên 1054,7.7,4.6,6.4,4.4,5.06,Trung bình
1055,SV01055,Sinh viên 1055,8.9,3.7,7.1,8.1,7.37,Khá
1056,SV01056,Sinh viên 1056,6.5,7.8,8.5,7.4,7.54,Khá
1057,SV01057,Sinh viên 1057,7.1,7.8,3.6,3.8,4.7,Yếu
1058,SV01058,Sinh viên 1058,7.6,8.2,7.0,9.1,8.5,Giỏi
1059,SV01059,Sinh viên 1059,7.5,6.8,9.3,4.1,5.62,Trung bình
1060,SV01060,Sinh viên 1060,5.1,8.6,3.6,5.7,5.76,Trung bình
1061,SV01061,Sinh viên 1061,8.3,7.1,7.1,3.5,5.06,Trung bình
1062,SV01062,Sinh viên 1062,6.5,4.8,3.9,2.3,3.33,Yếu
1063,SV01063,Sinh viên 1063,6.4,5.2,5.0,8.5,7.27,Khá
1064,SV01064,Sinh viên 1064,6.1,4.7,4.2,8.2,6.86,Khá
1065,SV01065,Sinh viên 1065,8.0,4.1,3.9,3.9,4.34,Yếu
1066,SV01066,Sinh viên 1066,7.8,3.8,3.6,4.8,4.77,Yếu
1067,SV01067,Sinh viên 1067,9.7,8.6,5.3,4.5,5.75,Trung bình
1068,SV01068,Sinh viên 1068,8.5,9.8,6.0,4.5,5.92,Trung bình
1069,SV01069,Sinh viên 1069,6.4,6.0,5.7,4.2,4.92,Yếu
1070,SV01070,Sinh viên 1070,8.8,6.2,3.1,8.8,7.56,Khá
1071,SV01071,Sinh viên 1071,9.2,3.6,4.4,5.3,5.3,Trung bình
1072,SV01072,Sinh viên 1072,6.9,5.8,5.4,9.8,8.25,Giỏi
1073,SV01073,Sinh viên 1073,5.7,4.7,6.4,3.9,4.58,Yếu
1074,SV01074,Sinh viên 1074,6.1,7.1,8.1,4.9,5.83,Trung bình
1075,SV01075,Sinh viên 1075,9.5,5.0,5.9,6.6,6.54,Khá
1076,SV01076,Sinh viên 1076,5.4,9.6,5.2,6.5,6.66,Khá
1077,SV01077,Sinh viên 1077,9.8,6.3,3.7,2.4,3.92,Yếu
1078,SV01078,Sinh viên 1078,7.7,6.5,6.1,2.8,4.34,Yếu
1079,SV01079,Sinh viên 1079,8.2,4.1,8.5,2.2,4.03,Yếu
1080,SV01080,Sinh viên 1080,9.6,3.5,8.7,9.5,8.49,Giỏi
1081,SV01081,Sinh viên 1081,5.8,7.2,8.0,8.7,8.08,Giỏi
1082,SV01082,Sinh viên 1082,7.5,3.6,9.4,5.7,6.12,Trung bình
1083,SV01083,Sinh viên 1083,8.8,9.3,4.8,7.3,7.38,Khá
1084,SV01084,Sinh viên 1084,5.8,8.8,3.3,4.1,4.85,Yếu
1085,SV01085,Sinh viên 1085,7.6,5.7,4.3,4.4,4.9,Yếu
1086,SV01086,Sinh viên 1086,7.9,8.2,6.2,3.7,5.17,Trung bình
1087,SV01087,Sinh viên 1087,7.8,8.2,7.8,5.3,6.36,Trung bình
1088,SV01088,Sinh viên 1088,5.5,7.6,4.7,8.0,7.2,Khá
1089,SV01089,Sinh viên 1089,8.9,6.5,7.8,2.2,4.36,Yếu
1090,SV01090,Sinh viên 1090,5.6,9.2,6.4,5.4,6.14,Trung bình
1091,SV01091,Sinh viên 1091,5.3,4.9,8.5,8.4,7.58,Khá
1092,SV01092,Sinh viên 1092,7.8,4.3,5.3,2.1,3.48,Yếu
1093,SV01093,Sinh viên 1093,7.1,5.8,4.0,5.5,5.48,Trung bình
1094,SV01094,Sinh viên 1094,9.6,8.2,4.5,2.2,4.18,Yếu
1095,SV01095,Sinh viên 1095,9.8,9.3,4.6,3.5,5.17,Trung bình
1096,SV01096,Sinh viên 1096,7.5,7.8,9.3,4.9,6.25,Trung bình
1097,SV01097,Sinh viên 1097,7.4,4.5,8.6,2.4,4.14,Yếu
1098,SV01098,Sinh viên 1098,6.3,5.9,5.7,9.6,8.13,Giỏi
1099,SV01099,Sinh viên 1099,8.9,4.1,7.4,4.7,5.44,Trung bình
1100,SV01100,Sinh viên 1100,7.1,7.2,9.2,6.8,7.25,Khá
1101,SV01101,Sinh viên 1101,10.0,3.5,5.9,6.4,6.25,Trung bình
1102,SV01102,Sinh viên 1102,5.8,9.6,7.5,5.1,6.21,Trung bình
1103,SV01103,Sinh viên 1103,7.5,3.1,8.7,3.5,4.62,Yếu
1104,SV01104,Sinh viên 1104,7.4,6.5,5.1,7.2,6.8,Khá
1105,SV01105,Sinh viên 1105,5.3,9.3,9.5,5.0,6.35,Trung bình
1106,SV01106,Sinh viên 1106,9.0,8.8,9.2,9.7,9.42,Giỏi
1107,SV01107,Sinh viên 1107,6.7,9.7,7.7,9.0,8.68,Giỏi
1108,SV01108,Sinh viên 1108,7.2,9.5,5.5,9.1,8.43,Giỏi
1109,SV01109,Sinh viên 1109,7.4,7.4,5.1,9.3,8.2,Giỏi
1110,SV01110,Sinh viên 1110,5.6,3.5,7.1,6.6,6.11,Trung bình
1111,SV01111,Sinh viên 1111,7.9,3.4,4.8,8.8,7.3,Khá
1112,SV01112,Sinh viên 1112,9.8,5.2,6.9,9.3,8.38,Giỏi
1113,SV01113,Sinh viên 1113,6.9,4.8,3.4,9.3,7.5,Khá
1114,SV01114,Sinh viên 1114,8.1,3.9,3.7,8.9,7.29,Khá
1115,SV01115,Sinh viên 1115,7.2,3.5,5.3,6.8,6.12,Trung bình
1116,SV01116,Sinh viên 1116,5.6,5.3,8.3,9.7,8.42,Giỏi
1117,SV01117,Sinh viên 1117,6.8,6.3,5.4,8.6,7.59,Khá
1118,SV01118,Sinh viên 1118,6.9,7.6,9.6,5.1,6.33,Trung bình
1119,SV01119,Sinh viên 1119,7.3,4.6,5.6,4.6,5.02,Trung bình
1120,SV01120,Sinh viên 1120,7.7,7.8,4.3,4.0,4.98,Yếu
1121,SV01121,Sinh viên 1121,9.1,6.9,8.2,5.8,6.65,Khá
1122,SV01122,Sinh viên 1122,5.8,8.2,3.9,7.3,6.78,Khá
1123,SV01123,Sinh viên 1123,7.7,5.1,4.7,9.3,7.82,Khá
1124,SV01124,Sinh viên 1124,8.3,6.2,8.0,5.7,6.38,Trung bình
1125,SV01125,Sinh viên 1125,8.7,3.8,8.7,9.4,8.38,Giỏi
1126,SV01126,Sinh viên 1126,7.5,6.3,5.9,4.4,5.22,Trung bình
1127,SV01127,Sinh viên 1127,6.2,7.6,9.3,4.2,5.67,Trung bình
1128,SV01128,Sinh viên 1128,8.6,5.5,8.5,9.4,8.6,Giỏi
1129,SV01129,Sinh viên 1129,8.0,7.3,4.0,5.9,6.04,Trung bình
1130,SV01130,Sinh viên 1130,9.5,9.9,4.1,4.9,5.99,Trung bình
1131,SV01131,Sinh viên 1131,9.1,5.6,3.6,4.6,5.05,Trung bình
1132,SV01132,Sinh viên 1132,8.7,9.2,6.9,8.1,8.14,Giỏi
1133,SV01133,Sinh viên 1133,9.3,7.0,6.4,6.3,6.72,Khá
1134,SV01134,Sinh viên 1134,5.7,8.7,6.7,6.7,6.9,Khá
1135,SV01135,Sinh viên 1135,7.6,4.6,9.5,2.6,4.44,Yếu
1136,SV01136,Sinh viên 1136,8.3,9.6,6.2,8.5,8.3,Giỏi
1137,SV01137,Sinh viên 1137,6.1,5.6,8.4,2.7,4.33,Yếu
1138,SV01138,Sinh viên 1138,5.8,4.0,5.8,5.3,5.23,Trung bình
1139,SV01139,Sinh viên 1139,5.4,8.8,7.1,3.1,4.79,Yếu
1140,SV01140,Sinh viên 1140,6.5,9.0,4.5,3.9,5.01,Trung bình
1141,SV01141,Sinh viên 1141,5.5,8.6,3.2,6.3,6.1,Trung bình
1142,SV01142,Sinh viên 1142,5.5,9.6,9.4,9.4,9.04,Giỏi
1143,SV01143,Sinh viên 1143,8.5,5.2,7.2,7.5,7.21,Khá
1144,SV01144,Sinh viên 1144,6.6,4.0,6.2,3.4,4.23,Yếu
1145,SV01145,Sinh viên 1145,5.9,8.5,4.8,4.1,5.04,Trung bình
1146,SV01146,Sinh viên 1146,5.0,4.7,8.4,2.4,3.9,Yếu
1147,SV01147,Sinh viên 1147,5.3,6.9,9.6,3.5,5.11,Trung bình
1148,SV01148,Sinh viên 1148,9.0,8.4,3.8,7.2,7.05,Khá
1149,SV01149,Sinh viên 1149,6.1,3.9,9.8,5.7,6.08,Trung bình
1150,SV01150,Sinh viên 1150,5.4,6.6,9.4,5.4,6.18,Trung bình
1151,SV01151,Sinh viên 1151,6.8,9.0,9.4,4.2,5.96,Trung bình
1152,SV01152,Sinh viên 1152,8.1,4.2,10.0,4.7,5.76,Trung bình
1153,SV01153,Sinh viên 1153,7.7,8.9,7.5,5.4,6.47,Trung bình
